,word,F_true,F_negative,power_n,F_positive,power_p,pred_n,pred_p
0,очень,0.40379449398703987,0.29945864645023584,0.7416115150392497,0.44027001628731965,1.0903318961586694,-0.18707570301184892,0.058191809331994304
1,достойный,0.009959525892416332,0.0032901467018352937,0.3303517393674905,0.010816786186957498,1.0860744079388283,-0.0069951069511787695,0.0024404454444635886
2,отель,0.06439849982243857,0.04995493328467234,0.7757157918648655,0.05757687418645165,0.8940716685202962,-0.027754597206919217,-0.003046291144271504
3,с,0.5150939590754927,0.5835448427641656,1.132890092152373,0.4548566519637449,0.8830556910046787,-0.09334098469394708,-0.03783718723956908
4,прекрасными,0.00019550317940138906,9.953384980342065e-05,0.5091162717055713,0.00023329895625971624,1.193325637844121,0.0004661474148684529,0.0011248188030717533
5,номерами,0.0009255466974192343,0.0009289825981652594,1.0037122932377216,0.0007522256066317954,0.8127365250497657,0.00033474384840200813,0.0009380296209312903
6,хорошим,0.005376337433538199,0.004573027432634938,0.8505841549505202,0.005080248299861111,0.9449273529912666,-0.0014860220339011371,0.0010181626525291483
7,интернетом,0.004828186114077342,0.00526423472293647,1.090313131796589,0.0042822350476082495,0.8869241877654042,-0.0004390040881474466,0.0007308892369852918
8,прекрасной,0.00039471844448761464,0.00023224564954131484,0.5883830684496989,0.00044043354359310917,1.1158169823171995,0.00036271454203045143,0.0011424487560878441
9,уборкой,0.00020911416024578956,0.00027095325779820064,1.2957193213492877,0.00014172366501758463,0.6777334679344758,0.0005762553573446751,0.0010153394100136971
10,и,1.3385211793048748,1.4573525101883955,1.0887780729366066,1.2253994972080438,0.9154875665429681,-0.28611298876295965,-0.05459791354709065
11,бассейном,0.0010133993919603649,0.00044237266579298066,0.436523516100829,0.0010661980337476752,1.052100526412567,-0.00010431095104927735,0.001178868625408408
12,террасой,0.0003328503497403396,0.00013824145806030645,0.4153261613459328,0.00037066189312291367,1.113599229840291,0.0003567367756019011,0.0011312742510532863
13,на,0.8348084749390908,0.9402409825096907,1.12629544468663,0.737052453018605,0.8829000604867862,-0.15561637579238097,-0.06212634312305765
14,крыше,0.0024821479612606736,0.0014100628722151258,0.5680817156036743,0.0023962201208357773,0.9653816606560175,-0.0008746462435396188,0.0011024946144492895
15,завтраки,0.015905049797629463,0.009405948806423252,0.5913812862016403,0.01502270849186397,0.9445244550006376,-0.008526658946952908,0.0008980207573490752
16,не,1.254875515206559,1.7105832130632648,1.363149724681411,1.0222288117669889,0.8146057512316071,-0.019702547456001307,-0.18364773485098573
17,брали,0.004032562415627386,0.0028422443777199008,0.7048234062553759,0.003915933882639723,0.9710783068017269,-0.0013914090482275792,0.0011430392865806258
18,поэтому,0.033506522753229205,0.0306287774478415,0.914113877868441,0.030067220624499878,0.8973542508705156,-0.01081093100885748,-0.0009536416202929471
19,ничего,0.04461060839847013,0.0595433608157352,1.3347354576266477,0.03743467084133709,0.8391428000031684,-0.001046427943016584,-0.004344885244820948
20,сказать,0.02860162020166524,0.026017042406949676,0.9096352662369426,0.028547506862695932,0.9981080323916001,-0.009234466587919304,0.002360301804772969
21,могу,0.02897901557962362,0.029887803232638257,1.0313601975373394,0.02706049856204989,0.9337963357553554,-0.006818208858637813,0.0004261860189642766
22,от,0.13728406488230832,0.15853530410355945,1.1547975669242423,0.11843955703723408,0.8627334653790345,-0.022274201675700295,-0.01221588338195112
23,центра,0.005836636058457925,0.004827391715465901,0.8270845855585739,0.004419597984471447,0.7572166467475671,-0.0017627377403451007,-0.00013375808907480774
24,метро,0.020875532529625537,0.014786306354130379,0.7083079836716201,0.017386223151541844,0.8328517189618116,-0.009613963859885563,-0.0015981439070374102
25,автобусе,0.0011346608576650239,0.0007907411401049529,0.6968964644926499,0.00097244237842835,0.8570335108144145,2.58563628976517e-05,0.0009594561662469106
26,можно,0.11779685239881164,0.1163384814452315,0.9876196101688465,0.10629928985542006,0.9023949935057214,-0.03324179899412853,-0.005438083260493387
27,добраться,0.0027506554924638473,0.001692075446658151,0.6151535338736682,0.0024005808489901644,0.8727304657261494,-0.0009396161912153165,0.0008385522457324802
28,достаточно,0.02842838953637287,0.019198973695415362,0.6753451042610459,0.027599048489116713,0.9708270126876145,-0.013982056324379447,0.0015406096292810492
